Sample,REP ,COL, S, N,H
VINTE %,1,A,9,15,1.987
VINTE %,2,A,13,17,2.476
VINTE %,3,A,11,13,2.352
VINTE %,4,A,18,28,2.682
VINTE %,1,B,13,15,2.523
VINTE %,2,B,6,6,1.792
VINTE %,3,B,10,11,2.272
VINTE %,4,B,6,6,1.792
VINTE %,1,C,4,6,1.33
VINTE %,2,C,8,8,2.079
VINTE %,3,C,7,10,1.834
VINTE %,4,C,1,1,0
QUARENTA %,1,A,15,18,2.659
QUARENTA %,2,A,19,24,2.867
QUARENTA %,3,A,3,3,1.099
QUARENTA %,4,A,0,0,0
QUARENTA %,1,C,9,12,2.138
QUARENTA %,2,C,9,10,2.164
QUARENTA %,3,C,12,17,2.425
QUARENTA %,4,C,18,25,2.71
SESSENTA %,1,A,7,8,1.906
SESSENTA %,2,A,6,6,1.792
SESSENTA %,3,A,13,20,2.415
SESSENTA %,4,A,16,17,2.752
SESSENTA %,1,B,11,16,2.307
SESSENTA %,2,B,5,9,1.303
SESSENTA %,3,B,3,3,1.099
SESSENTA %,4,B,7,7,1.946
SESSENTA %,1,C,1,1,0
SESSENTA %,2,C,4,4,1.386
SESSENTA %,3,C,3,4,1.04
SESSENTA %,4,C,7,9,1.889
